Deck-Selector,Card-Name
1st Place Exosister Deck 2022,"['Non-Fusion Area', 'Ghost Reaper & Winter Cherries', ""Elder Entity N'tss"", 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Downerd Magician', 'Exosister Gibrine', 'Exosister Asophiel', 'Exosister Kaspitell', 'Exosister Mikailis', 'Exosisters Magnifica', 'Solemn Strike', 'Exosister Vadis', 'Exosister Returnia', 'Necrovalley', 'Exosister Arment', 'Exosister Pax', 'Exosister Carpedivem', 'Dimension Shifter', 'Exosister Irene', 'Exosister Elis', 'Exosister Stella', 'Exosister Sophia', 'Exosister Martha']"
BLUE-EYES DECK 2018,"['LANphorhynchus', 'Hip Hoshiningen', 'Blue-Eyes Spirit Dragon', 'Azure-Eyes Silver Dragon', 'Black Rose Moonlight Dragon', 'Cloudcastle', 'Galaxy-Eyes Cipher Blade Dragon', 'Number 95: Galaxy-Eyes Dark Matter Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Galaxy-Eyes Cipher Dragon', 'Blue-Eyes Twin Burst Dragon', 'The Ultimate Creature of Destruction', 'Trade-In', 'Bingo Machine, Go!!!', 'Soul Charge', 'Monster Reborn', 'Called by the Grave', ""Silver's Cry"", 'The Melody of Awakening Dragon', 'Ash Blossom & Joyous Spring', 'Arkbrave Dragon', 'The White Stone of Legend', 'The White Stone of Ancients', 'Master with Eyes of Blue', 'Sage with Eyes of Blue', 'Blue-Eyes Solid Dragon', 'Dragon Spirit of White', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon', 'Blue-Eyes White Dragon', 'Blue-Eyes White Dragon']"
BLUE-EYES deck 2021,"['Monster Reborn', 'Reasoning', 'Five-Headed Dragon', 'King of the Swamp', 'Neo Kaiser Glider', 'Draco Masters of the Tenyi', 'Galaxy-Eyes Cipher Dragon', 'Galaxy-Eyes Full Armor Photon Dragon', 'Galaxy-Eyes Cipher Blade Dragon', 'Galaxy-Eyes Cipher X Dragon', 'Neo Blue-Eyes Ultimate Dragon', ""Harpie's Feather Duster"", 'Arkbrave Dragon', 'Blue-Eyes Solid Dragon', 'Dragon Spirit of White', 'Nibiru, the Primal Being']"
Blackwing Deck 2021,"['Droll & Lock Bird', 'The Phantom Knights of Rusty Bardiche', 'Raidraptor - Wise Strix', 'Predaplant Verte Anaconda', 'Time Thief Redoer', 'Raidraptor - Ultimate Falcon', 'Raidraptor - Force Strix', 'Raidraptor - Arsenal Falcon', ""Raider's Knight"", 'Number 24: Dragulas the Vampiric Dragon', 'Arc Rebellion Xyz Dragon', 'Blackwing Full Armor Master', 'Red-Eyes Dark Dragoon', 'The Phantom Knights of Shade Brigandine', ""Phantom Knights' Fog Blade"", 'Red-Eyes Fusion', 'Rank-Up-Magic Soul Shave Force', ""Phantom Knights' Rank-Up-Magic Force"", 'Black Whirlwind', 'Red-Eyes Black Dragon', 'Dark Magician', 'The Phantom Knights of Silent Boots', 'The Phantom Knights of Ancient Cloak', 'Raidraptor - Strangle Lanius', 'Blackwing - Zephyros the Elite', 'Blackwing - Simoon the Poison Wind', 'Blackwing - Oroshi the Squall', 'Blackwing - Kris the Crack of Dawn', 'Blackwing - Harmattan the Dust', 'Blackwing - Gale the Whirlwind', 'Blackwing - Bora the Spear', 'Blackwing - Auster the South Wind']"
Blue Eyes White Dragon 2019 Pure Build,"['Dragon Revival Rhapsody', 'Maiden with Eyes of Blue', 'Master with Eyes of Blue', 'Ghost Ogre & Snow Rabbit', 'Gameciel, the Sea Turtle Kaiju', 'Hip Hoshiningen', 'Number 90: Galaxy-Eyes Photon Lord', 'Black Rose Moonlight Dragon', 'Crystal Wing Synchro Dragon', ""Silver's Cry"", 'Glow-Up Bulb', 'Amorphage Goliath', 'Blue-Eyes White Dragon']"
Blue-Eyes 2022,"['Skill Drain', 'Royal Decree', 'Imperial Order', 'A Wingbeat of Giant Dragon', 'Lightning Storm', 'First of the Dragons', 'Nibiru, the Primal Being', 'Predaplant Verte Anaconda', 'Relinquished Anima', 'Hieratic Seal of the Heavenly Spheres', 'Accesscode Talker', 'Selene, Queen of the Master Magicians', 'Crystron Halqifibrax', 'Number 100: Numeron Dragon', 'Number 97: Draglubion', 'Virtual World Kyubi - Shenshen', 'Blue-Eyes Alternative Ultimate Dragon', ""Ice Dragon's Prison"", 'True Light', 'Destined Rivals', 'Pot of Avarice', 'Upstart Goblin', ""Harpie's Feather Duster"", 'Polymerization', 'Gameciel, the Sea Turtle Kaiju', 'Nebula Dragon', 'Chaos Dragon Levianeer', 'Blue-Eyes Abyss Dragon']"
Blue-Eyes Chaos MAX Dragon,"['Blue-Eyes Twin Burst Dragon', 'Blue-Eyes Alternative Ultimate Dragon', 'Linkuriboh', 'Crystron Halqifibrax', 'Selene, Queen of the Master Magicians', 'Accesscode Talker', 'Dingirsu, the Orcust of the Evening Star', 'Number 100: Numeron Dragon', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Number 97: Draglubion', 'Stardust Spark Dragon', 'Azure-Eyes Silver Dragon', 'Blue-Eyes Spirit Dragon', 'True Light', 'The Ultimate Creature of Destruction', 'Trade-In', 'The Melody of Awakening Dragon', 'Bingo Machine, Go!!!', 'Cards of Consonance', 'Piercing the Darkness', 'Chaos Form', 'Polymerization', 'One for One', 'Blue-Eyes Chaos MAX Dragon', 'Nebula Dragon', 'Chaos Dragon Levianeer', 'The White Stone of Ancients', 'The White Stone of Legend', 'Sage with Eyes of Blue', 'Blue-Eyes Abyss Dragon', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
Blue-Eyes Chaos MAX Dragon OTK 2020,"['Twin Twisters', 'Evenly Matched', 'The Winged Dragon of Ra - Sphere Mode', 'Gizmek Kaku, the Supreme Shining Sky Stag', 'Creature Swap', 'Dark Ruler No More', 'Number 22: Zombiestein', 'Knightmare Cerberus', 'Knightmare Phoenix', 'Knightmare Unicorn', 'Number 77: The Seven Sins', 'Number 84: Pain Gainer', 'Number 23: Lancelot, Dark Knight of the Underworld', ""Shien's Spy"", 'Advanced Ritual Art', 'Chaos Form', 'Bingo Machine, Go!!!', 'Pot of Extravagance', 'The Melody of Awakening Dragon', 'Blue-Eyes Chaos Dragon', 'Blue-Eyes Chaos MAX Dragon', 'Impcantation Penciplume', 'Impcantation Candoll', 'Impcantation Bookstone', 'Impcantation Talismandra', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
"Blue-Eyes Meta Deck 2020 , New Rules",['Deep-Eyes White Dragon']
Blue-eyes Chaos Max Dragon DECK,"['Number 23: Lancelot, Dark Knight of the Underworld', 'Divine Dragon Knight Felgrand', 'Hieratic Sun Dragon Overlord of Heliopolis', 'Number 46: Dragluon', 'Blue-Eyes Spirit Dragon', 'Azure-Eyes Silver Dragon', 'Vermillion Dragon Mech', 'Blue-Eyes Twin Burst Dragon', 'Neo Blue-Eyes Ultimate Dragon', 'Blue-Eyes Alternative Ultimate Dragon', 'Chaos Form', 'Advanced Ritual Art', ""Silver's Cry"", 'The Melody of Awakening Dragon', 'Return of the Dragon Lords', 'Blue-Eyes Chaos MAX Dragon', 'Sage with Eyes of Blue', 'The White Stone of Ancients', 'Ghost Ogre & Snow Rabbit', 'Manju of the Ten Thousand Hands', 'Assault Wyvern', 'Dragon Spirit of White', 'Blue-Eyes Alternative White Dragon', 'Blue-Eyes White Dragon']"
Branded Despia,"['Zombie World', 'Necroworld Banshee', 'Gilti-Gearfried the Magical Steel Knight', 'Prank-Kids Weather Washer', 'Branded Banishment', 'Branded Sword', 'Branded in High Spirits', 'Albion the Shrouded Dragon', 'Springans Kitt', 'Tri-Brigade Mercourier', 'Brigrand the Glory Dragon', 'Titaniklad the Ash Dragon', 'Despian Proskenion', 'Despian Quaeritis', 'Guardian Chimera', 'Lubellion the Searing Dragon', 'Mirrorjade the Iceblade Dragon', 'Albion the Branded Dragon', 'Masquerade the Blazing Dragon', 'Fairy Tail - Snow', 'Frightfur Patchwork', 'Edge Imp Chain', 'Super Polymerization', 'Branded Lost', 'Branded in Red', 'Branded Opening', 'Branded Fusion', 'Dramaturge of Despia', 'Ad Libitum of Despia', 'Despian Comedy', 'Fallen of Albaz', 'Despian Tragedy', 'Aluber the Jester of Despia', 'Dimensional Barrier', 'Enemy Controller', 'Crossout Designator', 'Contact ""C""', 'Gimmick Puppet Nightmare', 'Neo-Spacian Aqua Dolphin', 'Elemental HERO Aqua Neos', 'Red-Eyes Dark Dragoon', 'Guardian Chimera', 'Brigrand the Glory Dragon', 'Sprind the Irondash Dragon', 'Lubellion the Searing Dragon', 'Albion the Branded Dragon', 'Mirrorjade the Iceblade Dragon', 'Rindbrumm the Striking Dragon', 'Predaplant Dragostapelia', 'Despian Proskenion', 'Granguignol the Dusk Dragon', 'Branded Expulsion', 'Branded Retribution', 'Book of Eclipse', 'Fusion Deployment', 'Branded in Red', 'Branded Lost', 'Branded Opening', 'Branded Fusion', 'Foolish Burial', 'Gold Sarcophagus', 'Dark Magician', 'Nibiru, the Primal Being', 'Ash Blossom & Joyous Spring', 'The Bystial Lubellion', 'Bystial Saronir', 'Albion the Shrouded Dragon', 'Springans Kitt', 'Fallen of Albaz', 'Blazing Cartesia, the Virtuous', 'Aluber the Jester of Despia', 'Tri-Brigade Mercourier', 'Ad Libitum of Despia', 'Despian Tragedy']"
Branded Kozmo Kuriboh,"['Relinquished Anima', 'World Gears of Theurlogical Demiurgy', 'Number 71: Rebarian Shark', 'Number 61: Volcasaurus', 'Number 42: Galaxy Tomahawk', 'Lubellion the Searing Dragon', 'Mirrorjade the Iceblade Dragon', ""Storm Dragon's Return"", 'Emergency Teleport', 'Branded Fusion', 'Kozmotown', 'Soul Absorption', 'Kozmo Tincan', 'Astral Kuriboh', 'Kozmo Strawman', 'Kozmo Soartroopers', 'Kozmo Farmgirl', 'Fallen of Albaz', 'Kozmo Goodwitch', 'Kozmoll Dark Lady', 'Kozmo Sliprider', 'Gizmek Uka, the Festive Fox of Fecundity', 'Kozmo Forerunner', 'Kozmo Dark Destroyer', 'Kozmo Dark Eclipser']"
Burn Deck,"['Shiba-Warrior Taro', 'Secret Barrel', 'Ojama Trio', 'Just Desserts', 'Dimension Wall', 'Ceasefire', 'Wave-Motion Cannon', ""Nightmare's Steelcage"", 'Mask of the Accursed', 'Chain Strike', 'Stealth Bird', 'Mecha-Dog Marron', 'Mecha Bunny', 'Ebon Magician Curran', 'Des Koala', 'Blast Sphere', 'Arcana Force 0 - The Fool']"
Buster Blader,"['Buster Blader, the Dragon Destroyer Swordsman', 'Void Ogre Dragon', 'Buster Dragon', 'Number 77: The Seven Sins', 'Number 84: Pain Gainer', 'Number 23: Lancelot, Dark Knight of the Underworld', 'Decode Talker', 'Proxy Dragon', 'Code Talker', 'Linkuriboh', 'Destruction Sword Flash', 'Prologue of the Destruction Swordsman', 'Destruction Sword Memories', 'Return of the Dragon Lords', 'Destruction Swordsman Fusion', 'Sacred Sword of Seven Stars', 'Where Arf Thou?', 'Allure of Darkness', 'Pot of Duality', 'Battle Fader', 'Robot Buster Destruction Sword', 'Wizard Buster Destruction Sword', 'Dragon Buster Destruction Sword', 'Buster Whelp of the Destruction Swordsman', 'Buster Blader', 'Buster Blader, the Destruction Swordmaster']"
Buster blader pure (master duel),"['Protector Whelp of the Destruction Swordsman', 'Beelze of the Diabolic Dragons', 'Buster Dragon', 'Buster Blader, the Dragon Destroyer Swordsman', 'Dragon Knight Draco-Equiste', 'Destruction Sword Flash', 'Trap Trick', 'Destruction Sword Memories', 'Prologue of the Destruction Swordsman', 'World Legacy Guardragon', 'Destruction Swordsman Fusion', 'Emblem of Dragon Destroyer', 'Cards of Consonance', 'Dragon Buster Destruction Sword', 'Wizard Buster Destruction Sword', 'Maxx ""C""', 'Buster Whelp of the Destruction Swordsman', 'Buster Blader, the Destruction Swordmaster', 'Buster Blader']"
CYBER DRAGON 1ST PLACE DECK,"['Cybernetic Hidden Technology', 'Machina Armored Unit', 'Cyber Network', 'Brilliant Fusion', 'Borreload Dragon', 'Chimeratech Overdragon', 'Number 61: Volcasaurus', 'Cyber Dragon Infinity', 'Sea Monster of Theseus', 'Cyber Eternity Dragon', 'Power Bond', 'Cyber Dragon Drei', 'Toon Cyber Dragon', 'Cyber Pharos']"
Control Gravekeeper's December 2020,"['Lost Wind', 'Dinowrestler Pankratops', 'Ghost Reaper & Winter Cherries']"
Crystal Beast,"['Dante, Traveler of the Burning Abyss', 'Wind-Up Zenmaines', 'Temtempo the Percussion Djinn', 'Leviair the Sea Dragon', 'Gagaga Cowboy', 'Number 52: Diamond Crab King', 'Number 82: Heartlandraco', 'Number S39: Utopia the Lightning', 'Crystal Bond', 'Crystal Conclave', 'Rainbow Gravity', 'Horn of the Phantom Beast', 'Torrential Tribute', 'Crystal Raigeki', 'Counter Gem', 'Ancient City - Rainbow Ruins', 'Crystal Release', 'Crystal Tree', 'Rainbow Bridge', 'Crystal Beacon', 'Crystal Abundance', 'Crystal Blessing', 'Crystal Promise', 'Crystal Master', 'Crystal Keeper', 'Crystal Beast Ruby Carbuncle', 'Crystal Beast Emerald Tortoise', 'Crystal Beast Cobalt Eagle', 'Crystal Beast Amethyst Cat', 'Crystal Beast Topaz Tiger', 'Crystal Beast Sapphire Pegasus', 'Crystal Beast Amber Mammoth', 'Rainbow Dragon']"
Cyber Dragon Deck 2020,"['Evenly Matched', 'DNA Surgery', 'Iron Draw', 'Qliphort Genius', 'Platinum Gadget', 'Honest', 'Cyber Dragon Sieger', 'Predaplant Verte Anaconda', 'Cyber Dragon Nova', 'Cyber Dragon Infinity', 'Chimeratech Rampage Dragon', 'Chimeratech Fortress Dragon', 'Chimeratech Megafleet Dragon', 'Gilti-Gearfried the Magical Steel Knight', 'Panzer Dragon', 'Cybernetic Overflow', 'Overload Fusion', 'Cyberload Fusion', 'Cyber Repair Plant', 'Cyber Revsystem', 'Cyber Emergency', 'Machine Duplication', 'Limiter Removal', 'Cyber Dragon Nachster', 'Cyber Dragon Vier', 'Cyber Dragon Herz', 'Cyber Dragon Core', 'Cyber Dragon', 'Gizmek Yata, the Gleaming Vanguard', 'Jizukiru, the Star Destroying Kaiju']"
Cyber Dragon OTK October 2019,"['Anti-Spell Fragrance', 'Cybernetic Overflow', 'Artifact Sanctum', 'Artifact Lancea', 'Artifact Scythe', 'Fantastical Dragon Phantazmay', 'Salamangreat Almiraj', 'Qliphort Genius', 'Cyber Dragon Sieger', 'Cyber Dragon Nova', 'Constellar Pleiades', 'Cyber Dragon Infinity', 'Chimeratech Rampage Dragon', 'Chimeratech Fortress Dragon', 'Cyber Twin Dragon', 'Chimeratech Megafleet Dragon', 'Cyberload Fusion', 'Cyber Repair Plant', 'Machine Duplication', 'Cyber Emergency', 'Cyber Revsystem', 'Overload Fusion', 'One for One', 'Cyber Dragon Herz', 'Cyber Dragon Nachster', 'Cyber Dragon Core', 'Galaxy Soldier', 'Cyber Dragon', 'Jizukiru, the Star Destroying Kaiju']"
Dark Magician (via EDGE515) V0.2,"['Eradicator Epidemic Virus', 'Dark Burning Magic', ""Summoner's Art"", 'The Eye of Timaeus', 'Dark Paladin', 'Amulet Dragon', 'Gagaga Magician', 'Chocolate Magician Girl', 'Elemental HERO Prisma', 'Dark Magician Girl', 'Princess Cologne', 'Daigusto Emeral', 'Number 66: Master Key Beetle', 'Number 39: Utopia', 'Number C39: Utopia Ray', 'Number S39: Utopia the Lightning', 'Ebon High Magician', 'Ebon Illusion Magician', 'Number 11: Big Eye', 'Gaia Dragon, the Thunder Charger', 'Mecha Phantom Beast Dracossack', 'Number 74: Master of Blades', 'Red-Eyes Flare Metal Dragon', 'CXyz Simon the Great Moral Leader', 'Number C6: Chronomaly Chaos Atlandis', 'Skill Drain', 'Eternal Soul', 'Dark Renewal', 'Magician Navigation', 'Wonder Wand', 'Dark Magical Circle', 'Illusion Magic', 'Dedication through Light and Darkness', 'Dark Magic Expanded', 'Dark Magic Veil', 'Dark Magic Attack', 'Allure of Darkness', 'Maxx ""C""', ""Magician's Rod"", 'Summoner Monk', 'Legion the Fiend Jester', 'Armageddon Knight', 'Magician of Dark Illusion', 'Dark Magician of Chaos', 'Dark Magician']"
Dark Magician 2017 (via Mina) V0.1,"['Secret Village of the Spellcasters', 'Radian, the Multidimensional Kaiju', 'Number 39: Utopia Beyond', 'Odd-Eyes Absolute Dragon', 'Odd-Eyes Meteorburst Dragon', 'Beelze of the Diabolic Dragons', ""Magician's Right Hand"", 'Dark Magic Inheritance', 'Card of Demise', 'Dark Magician']"
Dark Magician 2020,"['Number 11: Big Eye', 'Ebon Illusion Magician', 'Ebon High Magician', 'The Dark Magicians', 'Dark Magician the Dragon Knight', 'Skill Drain', 'Eternal Soul', 'Crackdown', 'Magician Navigation', 'Soul Servant', 'Secrets of Dark Magic', 'Dark Magical Circle', 'Secret Village of the Spellcasters', 'The Eye of Timaeus', 'Magician of Chaos', ""Magicians' Souls"", ""Magician's Rod"", 'Dark Magician Girl', 'Apprentice Illusion Magician', 'Magician of Dark Illusion', 'Dark Magician']"
Dark Magician Deck 2018 TCG,"['Underclock Taker', 'Crowley, the First Propheseer', 'Summon Sorceress', 'Borrelguard Dragon', 'Constellar Ptolemy M7', 'Ebon Illusion Magician', 'Dark Armed, the Dragon of Annihilation', 'Dark Paladin', 'Dark Paladin', 'Dark Magician the Dragon Knight', 'Eternal Soul', 'Magician Navigation', 'Dark Magical Circle', 'Illusion Magic', 'Spellbook of Knowledge', 'Dark Magic Attack', 'Spellbook Magician of Prophecy', ""Magician's Robe"", ""Magician's Rod"", 'Inari Fire', 'Apprentice Illusion Magician', 'Magician of Dark Illusion']"
Dark Magician Deck 2019,"[""Wee Witch's Apprentice"", 'Knightmare Cerberus', 'Magi Magi ☆ Magician Gal', 'Norito the Moral Leader', 'Dark Cavalry', 'Dark Paladin', 'Dark Magician the Dragon Knight', 'Spellbook of Secrets', 'Spellbook of Knowledge', 'Spellbook Magician of Prophecy', 'Dark Magician']"
Dark Magician Deck 2020,"['Sorcerer of Dark Magic', 'Dark Paladin', 'Magi Magi ☆ Magician Gal', 'Link Spider', 'Red-Eyes Flare Metal Dragon', 'Number 89: Diablosis the Mind Hacker', 'Predaplant Verte Anaconda', 'Day-Breaker the Shining Magical Warrior', 'Spellbook of Knowledge', 'Red-Eyes Fusion', 'Magicalized Fusion', 'Dark Magic Twin Burst', 'Bond Between Teacher and Student', 'Dark Burning Magic', 'Dark Magic Attack', 'Dark Magic Inheritance', 'Red-Eyes Black Dragon', 'Dark Magician Girl', 'Dark Magician', 'Dark Magician']"
Dark World pure deck 2022,"['Dark World Brainwashing', 'Terrible Deal', 'Dark World Grimoire', 'Gateway to Dark World', 'Dark World Lightning', 'Gren, Tactician of Dark World', 'Kahkki, Guerilla of Dark World', 'Brron, Mad King of Dark World', 'Goldd, Wu-Lord of Dark World', 'Latinum, Exarch of Dark World', 'Lucent, Netherlord of Dark World', 'Renge, Gatekeeper of Dark World', 'Zure, Knight of Dark World', ""Wee Witch's Apprentice"", 'Dharc the Dark Charmer, Gloomy', 'Masterking Archfiend', 'Black Luster Soldier - Soldier of Chaos', 'Saryuja Skull Dread', 'Unchained Abomination', 'Underworld Goddess of the Closed World', 'XX-clusion', 'Dark Smog', 'Dark Deal', 'The Forces of Darkness', 'The Gates of Dark World', 'Charge Into a Dark World', 'Dark World Dealings', 'Card Destruction', 'Ceruli, Guru of Dark World', 'Broww, Huntsman of Dark World', 'Beiige, Vanguard of Dark World', 'Snoww, Unlight of Dark World', 'Sillva, Warlord of Dark World', 'Reign-Beaux, Overlord of Dark World', 'Grapha, Dragon Lord of Dark World']"
Darklords (Master Duel),"['Apollousa, Bow of the Goddess', 'Herald of Mirage Lights', 'I:P Masquerena', 'Condemned Darklord', 'Accesscode Talker', 'Mekk-Knight Crusadia Avramax', 'Borrelsword Dragon', 'Baronne de Fleur', 'Millennium-Eyes Restrict', 'Allvain the Essence of Vanity', 'The First Darklord', 'The Sanctified Darklord', 'Darklord Uprising', 'Darklord Rebellion', 'Raigeki', 'Instant Fusion', ""Harpie's Feather Duster"", 'Darklord Contact', 'Banishment of the Darklords', 'Allure of Darkness', 'Herald of Orange Light', 'Darklord Ukoback', 'Indulged Darklord', 'Darklord Nasten', 'Archlord Kristya', 'Darklord Superbia', 'Darklord Tezcatlipoca', 'Darklord Ixchel', 'Darklord Morningstar']"
Dinosaur Deck 2020,"['Black Luster Soldier - Soldier of Chaos', 'Evilswarm Exciton Knight', 'Evolzar Dolkka', 'Evolzar Laggia', 'True King of All Calamities', 'Dragonic Diagram', 'Set Rotation', 'Double Evolution Pill', 'Lost World', 'Fossil Dig', 'Lightning Storm', 'Petiteranodon', 'Babycerasaurus', 'Souleating Oviraptor', 'Miscellaneousaurus', 'Giant Rex', 'Overtex Qoatlus', 'Dogoran, the Mad Flame Kaiju', 'True King Lithosagym, the Disaster', 'Gizmek Kaku, the Supreme Shining Sky Stag', 'True King Agnimazud, the Vanisher', 'Ultimate Conductor Tyranno']"
Dragon Link 1st place 2020,"['Martial Metal Marcher', 'Borreload Savage Dragon', 'Linkross', 'Guardragon Pisty', 'Guardragon Elpy', 'Protector Whelp of the Destruction Swordsman', 'Dragunity Knight - Romulus', 'Union Carrier', 'Borrelsword Dragon', 'Living Fossil', 'Boot Sector Launch', 'Dragon Shrine', 'World Legacy Guardragon', 'Quick Launch', 'Chaos Space', 'Omni Dragon Brotaur', 'Chaos Dragon Levianeer', 'Dragon Buster Destruction Sword', 'Dragon Ravine', 'Dragunity Divine Lance', 'Dragunity Phalanx', 'Red Rose Dragon', 'White Rose Dragon', 'Supreme King Dragon Darkwurm', 'Noctovision Dragon', 'Rokket Synchron', 'Silverrokket Dragon', 'Rokket Recharger', 'Rokket Tracer', 'Absorouter Dragon', 'White Dragon Wyverburster', 'Black Dragon Collapserpent', 'Black Metal Dragon', 'Starliege Seyfert']"
Dragonmaid deck 2019,"['Dragonmaid Downtime', 'Infinite Impermanence', 'Super Polymerization', 'World Legacy Succession', ""Dragon's Mirror"", 'Pot of Desires', 'Return of the Dragon Lords', 'PSY-Framelord Lambda', 'Tempest, Dragon Ruler of Storms', 'Dragonmaid Ernus', 'Dragonmaid Tinkhec', 'Salamangreat Almiraj', 'Guardragon Elpy', 'Guardragon Pisty', 'Hieratic Seal of the Heavenly Spheres', 'Dragunity Knight - Romulus', 'Guardragon Agarpain', 'Knightmare Phoenix', 'Triple Burst Dragon', 'Saryuja Skull Dread', 'Borrelsword Dragon', 'Hot Red Dragon Archfiend Abyss', 'House Dragonmaid', 'Dragonmaid Downtime', 'Dragonmaid Welcome', 'Dragon Ravine', 'Dragonmaid Changeover', 'Called by the Grave', 'Monster Reborn', 'Dragonmaid Hospitality', 'World Legacy Guardragon', ""Destrudo the Lost Dragon's Frisson"", 'Ash Blossom & Joyous Spring', 'Dragonmaid Nudyarl', 'Dragonmaid Ernus', 'Dragonmaid Lorpar', 'Dragonmaid Tinkhec', 'Red-Eyes Darkness Metal Dragon', 'Laundry Dragonmaid', 'Nurse Dragonmaid', 'Parlor Dragonmaid', 'Kitchen Dragonmaid']"
Dragons with Eyes of Blue (via 7kolt) V0.3,"['Breakthrough Skill', 'D.D.R. - Different Dimension Reincarnation', 'Advanced Ritual Art', 'A Wingbeat of Giant Dragon', 'Thunder End Dragon', 'Michael, the Arch-Lightsworn', ""Vanity's Emptiness"", 'Solemn Strike', 'Quaking Mirror Force']"
Egyptian God Deck,"['Bound Wand', 'Holactie the Creator of Light', 'Dark Illusion', 'Domain of the True Monarchs', 'Restoration of the Monarchs', 'Scapegoat', 'Precious Cards from Beyond', 'Draining Shield', 'The Golden Apples', 'Rainbow Life', 'Overwhelm', 'Dark Bribe', 'Negate Attack', 'Delg the Dark Monarch', 'The First Monarch', 'The Prime Monarch', 'The Monarchs Stormforth', 'March of the Monarchs', ""Ra's Disciple"", 'Apprentice Illusion Magician', 'Monster Reincarnation', 'Mound of the Bound Creator', 'Pot of Duality', 'The True Name', 'Arcane Barrier', 'Fires of Doomsday', 'Scapeghost', ""Gravekeeper's Spy"", 'Obelisk the Tormentor', 'The Winged Dragon of Ra - Sphere Mode', 'The Winged Dragon of Ra - Immortal Phoenix', 'The Winged Dragon of Ra', 'Slifer the Sky Dragon']"
Elemental HERO,"['Xtra HERO Wonder Driver', 'Elemental HERO Gaia', 'Masked HERO Dark Law', 'Masked HERO Koga', 'Elemental HERO Absolute Zero', 'Elemental HERO Escuridao', 'Masked HERO Acid', 'Elemental HERO The Shining', 'Elemental HERO Nova Master', 'Masked HERO Divine Wind', 'Masked HERO Anki', 'Elemental HERO Great Tornado', 'Masked HERO Dian', 'Solemn Warning', 'Solemn Judgment', 'Hero Signal', 'Storming Mirror Force', 'Mask Change', 'Miracle Fusion', 'R - Righteous Justice', 'Polymerization', 'A Hero Lives', 'E - Emergency Call', 'Elemental HERO Bubbleman', 'Elemental HERO Shadow Mist', 'Elemental HERO Woodsman', 'Elemental HERO Blazeman', 'Elemental HERO Solid Soldier', 'Elemental HERO Neos Alius', 'Elemental HERO Honest Neos', 'Elemental HERO Avian', 'Elemental HERO Burstinatrix', 'Elemental HERO Clayman', 'Elemental HERO Sparkman']"
